Track Number,Song Name,Artist,Album,Duration
A1,will you remember me?,DJ Re:Code,ReCodePop!,0:39
A2,No Surprises,Radiohead,OK Computer,3:49
A3,Only in My Dreams,The Marías,"Superclean, Vol. I",2:50
A4,Can I Call You Rose?,Thee Sacred Souls,Thee Sacred Souls,3:10
A5,"Stay, Pt. I",extremely bad man,Love Is Pure,0:58
A6,"Stay, Pt. 2",extremely bad man,"Stay, Pt. 1 &, Pt. 2",2:26
A7,Deep Sea,Snail Mail,Lush,4:42
A8,Passionfruit,Yaeji,EP2,4:34
A9,For Sure,American Football,American Football,3:16
A10,Inside Out,Duster,Stratosphere,2:21
A11,Simulation Swarm,Big Thief,Dragon New Warm Mountain I Believe In You,4:12
A12,Something About Us,Daft Punk,Discovery,3:52
A13,Now That I Have You,Mere Notilde,Now That I Have You,3:11
A14,Show Me How,Men I Trust,Show Me How,3:35
B2,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,4:50
B3,Scorpio Rising,Soccer Mommy,Clean,4:42
B4,Telephones,Vacations,Changes,3:32
B5,Gym Hours,Dom McLennon,The Changing of the Trees,3:5
B6,Once A Day,Mac Miller,Circles,2:40
B7,Let Me Go,Daniel Caesar,NEVER ENOUGH,3:36
B8,Heart To Heart,Mac DeMarco,Here Comes The Cowboy,3:31
B9,aisatsana [102],Aphex Twin,Syro,5:21
